Milky_Way_Galaxy_(SIHanatsuka_Remix)	3R2	177.3
False	1	0	-1
False	2	0.5	-1
False	3	1	-1
False	4	1.5	-1
False	3	2	-1
False	2	2.5	-1
False	1	3	-1
False	2	3.5	-1
False	1	4	-1
False	2	4.5	-1
False	3	5	-1
False	2	5.5	-1
False	3	6	-1
False	2	6.5	-1
False	3	7	-1
False	4	7.5	-1
False	1	8	-1
False	2	8.5	-1
False	3	9	-1
False	2	9.5	-1
False	3	10	-1
False	2	10.5	-1
False	1	11	-1
False	3	11.5	-1
False	1	12	-1
False	2	12.5	-1
False	3	13	-1
False	2	13.5	-1
False	3	14	-1
False	2	14.5	-1
False	3	15	-1
False	4	15.5	-1
False	1	16	-1
False	2	16.5	-1
False	3	17	-1
False	2	17.5	-1
False	3	18	-1
False	2	18.5	-1
False	1	19	-1
False	3	19.5	-1
False	1	20	-1
False	2	20.5	-1
False	3	21	-1
False	2	21.5	-1
False	3	22	-1
False	2	22.5	-1
False	1	23	-1
False	4	23.5	-1
False	1	24	-1
False	2	24.5	-1
False	3	25	-1
False	2	25.5	-1
False	3	26	-1
False	2	26.5	-1
False	1	27	-1
False	3	27.5	-1
False	1	28	-1
False	2	28	-1
False	3	28	-1
False	4	28	-1
False	1	29	-1
False	2	29	-1
False	3	29	-1
False	4	29	-1
False	1	30	-1
False	2	30	-1
False	3	30	-1
False	4	30	-1
False	1	31	-1
False	2	31	-1
False	3	31	-1
False	4	31	-1
False	1	32	-1
False	3	33.5	4.25
True	2	38.25	-1
True	3	38.5	-1
True	2	38.75	-1
True	3	39	-1
True	1	39.25	-1
True	1	39.75	-1
True	4	39.75	-1
True	2	40.25	-1
True	2	41.75	3.5
False	1	45.75	-1
False	4	46	-1
False	2	46.25	-1
False	3	46.5	-1
False	2	46.75	-1
False	3	47	-1
False	1	47.25	-1
False	1	47.75	-1
False	4	47.75	-1
False	2	48.25	-1
False	2	49.75	4.25
True	1	54.5	-1
True	4	54.75	-1
True	1	55	-1
True	4	55.25	-1
True	2	55.5	-1
True	1	56	-1
True	4	56	-1
True	3	56.5	-1
True	3	58	3.5
False	2	62	-1
False	3	62.25	-1
False	1	62.5	-1
False	4	62.75	-1
False	1	63	-1
False	4	63.25	-1
False	2	63.5	-1
False	1	64	-1
False	4	64	-1
False	1	64.5	-1
False	1	66	3.5
True	1	70	-1
True	4	70.25	-1
True	2	70.5	-1
True	3	70.75	-1
True	2	71	-1
True	3	71.25	-1
True	1	71.5	-1
True	1	72	-1
True	4	72	-1
True	4	72.5	-1
True	4	74	2.5
False	2	77.25	-1
False	3	77.5	-1
False	2	77.75	-1
False	3	78	-1
False	2	78.25	-1
False	3	78.5	-1
False	1	78.75	-1
False	4	79	-1
False	1	79.25	-1
False	4	79.5	-1
False	1	79.75	-1
False	2	80.25	-1
False	3	80.25	-1
False	2	80.75	-1
False	2	82.25	4
True	2	86.75	-1
True	3	87	-1
True	2	87.25	-1
True	3	87.5	-1
True	4	87.75	-1
True	1	88.25	-1
True	4	88.25	-1
True	2	88.75	-1
True	2	90.25	1.75
True	3	90.25	1.75
False	1	93	-1
False	2	93.75	-1
False	2	94.25	-1
False	3	94.5	-1
False	1	95	-1
False	4	95.5	-1
False	1	96	-1
False	4	96.5	-1
False	2	97	-1
False	4	99	-1
False	3	100.75	-1
False	4	101	-1
False	3	102	-1
False	2	103	-1
False	1	104	-1
False	2	105	2.5
True	3	108	-1
True	2	109	-1
True	3	109.5	-1
True	2	110.75	-1
True	1	111.75	-1
False	1	113.25	-1
False	4	115.25	-1
False	3	117	-1
False	4	117.25	-1
False	3	118.25	-1
False	2	119.25	-1
False	4	120.25	-1
False	2	121.25	2.5
False	3	121.25	2.5
False	2	124.25	-1
False	3	125.25	-1
False	4	126.25	-1
False	3	127.25	-1
False	2	128.25	-1
False	1	129.5	-1
False	2	131.25	-1
False	3	133.5	-1
False	4	135.5	-1
False	3	136.5	-1
True	1	137.5	-1
True	1	139.25	-1
True	2	139.5	1.75
True	1	141.5	-1
False	4	142.5	-1
False	3	143.5	-1
False	2	144.5	-1
False	1	145.5	-1
False	1	147	-1
False	4	147.5	-1
False	3	149.5	-1
False	2	151.5	-1
False	1	152.5	-1
False	2	153.75	-1
False	1	155.25	-1
False	1	157.75	-1
True	1	157.75	-1
False	2	158.75	-1
True	2	158.75	-1
False	3	159.75	-1
True	3	159.75	-1
False	4	160.75	-1
True	4	160.75	-1
False	2	161.75	-1
False	2	163.25	4.25
True	2	167.75	-1
True	3	167.75	-1
True	2	168.25	-1
True	3	168.5	-1
True	1	168.75	-1
True	1	169.25	-1
True	4	169.25	-1
True	2	169.75	-1
True	2	171.25	3.75
False	1	175.5	-1
False	4	175.75	-1
False	2	176	-1
False	3	176.25	-1
False	2	176.5	-1
False	3	176.75	-1
False	1	177	-1
False	1	177.5	-1
False	4	177.5	-1
False	3	178	-1
False	3	179.5	4.25
True	2	184.25	-1
True	3	184.5	-1
True	2	184.75	-1
True	3	185	-1
True	4	185.25	-1
True	1	185.75	-1
True	4	185.75	-1
True	1	186.25	1.5
True	2	187.75	1.5
True	3	189.25	3
True	4	192.25	1.75
False	1	194.25	-1
False	2	194.75	0.25
False	3	195.25	-1
False	4	195.75	0.25
False	2	196.25	-1
False	1	196.75	0.25
False	3	197.25	-1
False	2	197.75	0.25
False	4	198.25	-1
False	3	198.75	0.25
False	2	199.25	-1
False	1	199.75	0.25
False	3	200.25	-1
False	4	200.75	0.25
False	2	201.25	-1
False	3	201.75	0.25
True	1	202.25	-1
True	2	202.75	0.25
True	3	203.25	-1
True	4	203.75	0.25
True	3	204.25	-1
True	2	204.75	0.25
True	1	205.25	-1
True	2	205.75	0.25
True	4	206.25	-1
True	3	206.75	0.25
True	1	207.25	0.25
True	4	207.25	0.25
True	1	208	-1
True	4	208.25	-1
True	2	208.5	-1
True	3	208.75	-1
True	2	209	-1
True	3	209.25	-1
True	4	209.5	-1
True	1	210	-1
True	4	210	-1
False	1	210.5	-1
False	1	211	-1
False	1	211.5	-1
True	1	211.5	-1
False	1	212	-1
False	2	212.5	-1
False	2	213	-1
False	2	213.5	-1
True	2	213.5	-1
False	2	214	-1
False	4	214.5	-1
False	4	215	-1
False	4	215.5	-1
True	4	215.5	-1
False	4	216	-1
False	3	216.5	-1
False	3	217	-1
False	3	217.5	-1
True	3	217.5	-1
False	3	218	-1
False	1	218.5	-1
True	1	218.5	-1
False	3	219	-1
False	2	219.5	-1
False	4	220	-1
True	4	220	-1
False	3	220.5	-1
False	2	221	-1
False	3	221.5	-1
True	3	221.5	-1
False	2	222	-1
False	1	222.5	2.5
False	4	222.5	2.5
True	1	224.75	0.25
True	3	225	0.25
True	2	225.25	0.25
True	4	225.5	0.25
True	3	225.75	0.25
True	1	226	0.25
True	2	226.25	0.25
True	4	226.5	0.75
True	1	227.25	1
True	1	228.75	-1
True	4	228.75	-1
True	1	229.75	-1
True	4	229.75	-1
True	1	230.75	0.75
True	4	231.5	0.75
True	1	232.75	-1
True	4	232.75	-1
False	2	233.75	-1
True	1	233.75	-1
True	4	233.75	-1
False	3	234.25	-1
False	1	234.75	0.75
False	3	235.5	0.75
False	1	236.75	-1
True	1	236.75	-1
False	4	237.75	-1
True	4	237.75	-1
False	4	238.5	0.75
False	2	239.25	0.75
False	1	240.75	-1
False	2	241.25	-1
True	4	241.75	-1
True	3	242.25	-1
False	1	243	1.25
True	1	243	1.25
False	4	244.5	-1
True	4	244.5	-1
False	1	245	0.5
True	1	245	0.5
False	2	245.5	0.5
True	2	245.5	0.5
False	4	246	0.5
True	4	246	0.5
False	3	246.5	0.5
True	3	246.5	0.5
False	1	248	-1
True	1	248	-1
False	2	249	-1
False	3	249	-1
True	2	249	-1
True	3	249	-1
False	1	251	0.25
True	1	251	0.25
False	4	251.5	0.25
True	4	251.5	0.25
False	2	252	0.25
True	2	252	0.25
False	3	252.5	0.25
True	3	252.5	0.25
False	2	253	-1
False	3	253	-1
False	1	254	-1
False	2	255.5	-1
False	3	256	-1
False	1	257	-1
False	4	257	-1
True	1	257	-1
True	4	257	-1
False	1	259	1
False	2	260	1
False	4	261.25	-1
True	4	261.25	-1
False	4	262.25	-1
True	4	262.25	-1
False	4	263.25	1
False	3	264.25	0.75
False	1	265.25	-1
True	1	265.25	-1
False	1	266.25	-1
True	1	266.25	-1
False	1	267.25	1
True	1	267.25	1
False	4	268.25	1
True	4	268.25	1
False	1	269.25	-1
True	1	269.25	-1
False	1	270.25	-1
True	1	270.25	-1
False	2	271.75	-1
False	3	272.25	-1
False	4	273.25	-1
True	4	273.25	-1
False	1	275.25	1
False	2	275.25	1
False	3	275.25	1
False	4	275.25	1
False	1	276.75	-1
False	3	277.25	-1
True	3	277.25	-1
False	2	278.25	-1
False	4	278.75	-1
True	4	278.75	-1
False	2	280.25	-1
False	1	281.25	-1
False	4	281.25	-1
True	1	281.25	-1
True	4	281.25	-1
False	2	283.5	0.25
True	2	283.5	0.25
False	3	284	0.25
True	3	284	0.25
False	1	284.5	0.25
True	1	284.5	0.25
False	4	285	0.25
True	4	285	0.25
False	1	285.5	-1
False	4	285.5	-1
True	2	286.5	-1
False	2	288	-1
False	3	288.5	-1
False	2	289.5	-1
False	3	289.5	-1
